Status,Date,Title,Price,Price_units,Amount,Amount_units,Waste_type
Открыто,2021-10-07,ПЭТ дробленый,45.0,₽/кг.,10.0,т.,Пластик
Открыто,2021-10-07,Продаю чехлы для матрасов «Долемо». ,500.0,₽/шт.,100.0,шт.,Текстиль
Открыто,2021-10-06,Продам черную плёнку ПВД ,12.0,₽/кг.,20000.0,кг.,Пластик
Открыто,2021-10-06,Продам обрезки Пленки ПВХ ,35.0,₽/кг.,8500.0,кг.,Пластик
Открыто,2021-10-06,Продам Каучук натуральный rss ,230.0,₽/кг.,460.0,кг.,Резина
Открыто,2021-10-06,Продам  пэ порошок от производства ре 5118,60.0,₽/кг.,2.0,т.,Пластик
Открыто,2021-10-06,Продаëм брак ПЭТ плëнки,14.0,₽/кг.,20.0,т.,Пластик
Открыто,2021-10-06,Продам : пленка пнд ( под легкую мойку),48.0,₽/кг.,20.0,т.,Пластик
Открыто,2021-10-06,Ведро ПП полигон ,40.0,₽/кг.,15.0,т.,Пластик
Открыто,2021-10-06,Чёрная Пленка со стройки ,27.0,₽/кг.,20.0,т.,Пластик
Открыто,2021-10-06,Продам полигонный микс,15.0,₽/кг.,200.0,т.,Пластик
Открыто,2021-10-06,Пленка ПВД 3 сл ЧБ первичка,35.0,₽/кг.,40.0,т.,Пластик
Открыто,2021-10-06,ПнД 293,45.0,₽/кг.,3800.0,кг.,Пластик
Открыто,2021-10-06,Есть ведра пп,29.0,₽/кг.,15000.0,кг.,Пластик
Открыто,2021-10-06,Продам: мебельную плёнку ПВХ ,45.0,₽/кг.,7.0,т.,Пластик
Открыто,2021-10-03,"Дроблёнка П.Э.белая,Дробленка П.П.цветная.Литники П.П. Микс",55.0,₽/кг.,3000.0,кг.,Пластик
Открыто,2021-09-20,"Полипропилен Серебристый металлик H085 птр ""8"" 20тн/мес",115.0,₽/кг.,20000.0,кг.,Пластик
Открыто,2021-09-19,Продам непрессованную ПЭТ бутылку (прозрачная и красного оттенка),20.0,₽/кг.,4.0,т.,Пластик
Открыто,2021-09-19,ПВД под мойку,36.0,₽/кг.,7606.0,кг.,Пластик
Открыто,2021-09-18,Пвд 158,1.0,₽/кг.,10.0,т.,Пластик
Открыто,2021-09-17,АБС гранула белая литьевая,200.0,₽/кг.,10.0,т.,Пластик
Открыто,2021-09-17,"Полипропилен натуральный H030 п. т. р. ""3-5"" 30тн/мес",145.0,₽/кг.,30000.0,кг.,Пластик
Открыто,2021-09-17,"Полипропилен чёрный птр ""25"" 10тн/мес",90.0,₽/кг.,10000.0,кг.,Пластик
Открыто,2021-09-17,Предлагаю пластик,16.0,₽/кг.,60.0,т.,Пластик
Открыто,2021-09-17,7Б,16000.0,₽/т.,300.0,т.,Макулатура
Открыто,2021-09-17,пнд труба,50.0,₽/кг.,2.0,т.,Пластик
Открыто,2021-09-17,ПВХ в гранулах ,50.0,₽/кг.,2650.0,кг.,Пластик
Открыто,2021-09-16,Продам чистый брак АБС,75.0,₽/кг.,2000.0,кг.,Пластик
Открыто,2021-09-16,продаю брак производства масок,6.0,₽/кг.,3000.0,кг.,Остальное
Открыто,2021-09-16,Лавсан,15.0,₽/кг.,1870.0,кг.,Пластик
Открыто,2021-09-16,Светильники Led под переборку,30.0,₽/шт.,500.0,шт.,Электроника
Открыто,2021-09-16,Порошок(концентрат) кобальта 60%ный,1480.0,₽/кг.,4200.0,кг.,Металлы
Открыто,2021-09-16,Краска Эмаль ЭП-5147С серая,80.0,₽/кг.,12000.0,кг.,Остальное
Открыто,2021-09-15,Драбленка ведра после мойки,90.0,₽/кг.,10.0,т.,Пластик
Открыто,2021-09-15,Продам : отходы полипропиленовых мешок,30.0,₽/кг.,16.0,т.,Пластик
Открыто,2021-09-15,ПЭТ Флаконы складского хранения,40000.0,₽/т.,5.0,т.,Пластик
Открыто,2021-09-13,продам картон ,16.0,₽/кг.,20000.0,кг.,Макулатура
Открыто,2021-09-13,9В,17000.0,₽/т.,40.0,т.,Макулатура
Открыто,2021-09-13,Продам обрезки/вырубку ПП,55.0,₽/кг.,6.0,т.,Пластик
Открыто,2021-09-13,Мешки ПНД из под пищевых продуктов. ,14000.0,₽/т.,10.0,т.,Пластик
Сделка закрыта,2021-09-13,Канистра ПНД фермерская,45.0,₽/кг.,15000.0,кг.,Пластик
Открыто,2021-09-13,Продаем ПЭТ флексу,75.0,₽/кг.,200000.0,кг.,Пластик
Открыто,2021-09-12,Продам литники сшитого полиэтилена,8.0,₽/кг.,100.0,т.,Пластик
Открыто,2021-09-11,Гранула пнд ,90.0,₽/кг.,1850.0,кг.,Пластик
Открыто,2021-09-11,ПНД гранула литьевая,90.0,₽/кг.,100.0,т.,Пластик
